,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,400.0,0.97,1.0,4.088590858260744
1,1.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,400.0,0.99,1.0,3.8480819665881225
2,2.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,400.0,0.993,1.0,3.8318409471272066
3,3.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,400.0,0.995,1.0,3.837724917979907
4,4.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,400.0,0.997,1.0,3.8798808582914748
5,5.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,600.0,0.97,1.0,3.9896145307978053
6,6.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,600.0,0.99,1.0,3.8157036841974503
7,7.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,600.0,0.993,1.0,3.813902037966492
8,8.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,600.0,0.995,1.0,3.7696404523776947
9,9.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,600.0,0.997,1.0,3.804713700824133
10,10.0,1.0,1.0,1258.0,424.0,0.03,1.0,2.0,400.0,0.97,1.0,3.8370534222722017
11,11.0,1.0,1.0,1258.0,424.0,0.03,1.0,2.0,400.0,0.99,1.0,3.7860037273487404
12,12.0,1.0,1.0,1258.0,424.0,0.03,1.0,2.0,400.0,0.993,1.0,3.78245095396456
13,13.0,1.0,1.0,1258.0,424.0,0.03,1.0,2.0,400.0,0.995,1.0,3.7964198554640745
14,14.0,1.0,1.0,1258.0,424.0,0.03,1.0,2.0,400.0,0.997,1.0,3.844124598559098
15,15.0,1.0,1.0,1258.0,424.0,0.03,1.0,2.0,600.0,0.97,1.0,3.779868245584365
16,16.0,1.0,1.0,1258.0,424.0,0.03,1.0,2.0,600.0,0.99,1.0,3.7351945401916127
