,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,1.0,1.0,142.0,475.0,0.005,1.0,1.0,400.0,0.97,1.0,112.95064165045443
1,1.0,1.0,1.0,142.0,475.0,0.005,1.0,1.0,400.0,0.99,1.0,112.6279108600162
2,2.0,1.0,1.0,142.0,475.0,0.005,1.0,1.0,400.0,0.993,1.0,112.13765328715408
3,3.0,1.0,1.0,142.0,475.0,0.005,1.0,1.0,400.0,0.995,1.0,112.18642018398262
4,4.0,1.0,1.0,142.0,475.0,0.005,1.0,1.0,400.0,0.997,1.0,113.23583640766928
5,5.0,1.0,1.0,142.0,475.0,0.005,1.0,1.0,600.0,0.97,1.0,102.41496838243724
6,6.0,1.0,1.0,142.0,475.0,0.005,1.0,1.0,600.0,0.99,1.0,101.91650225632358
7,7.0,1.0,1.0,142.0,475.0,0.005,1.0,1.0,600.0,0.993,1.0,101.5468016437744
8,8.0,1.0,1.0,142.0,475.0,0.005,1.0,1.0,600.0,0.995,1.0,100.91908749802343
9,9.0,1.0,1.0,142.0,475.0,0.005,1.0,1.0,600.0,0.997,1.0,100.04838014966464
10,10.0,1.0,1.0,142.0,475.0,0.005,1.0,2.0,400.0,0.97,1.0,119.51885607227295
11,11.0,1.0,1.0,142.0,475.0,0.005,1.0,2.0,400.0,0.99,1.0,112.9084303290049
12,12.0,1.0,1.0,142.0,475.0,0.005,1.0,2.0,400.0,0.993,1.0,110.6543404421452
13,13.0,1.0,1.0,142.0,475.0,0.005,1.0,2.0,400.0,0.995,1.0,108.92618652430276
14,14.0,1.0,1.0,142.0,475.0,0.005,1.0,2.0,400.0,0.997,1.0,107.98896898947082
15,15.0,1.0,1.0,142.0,475.0,0.005,1.0,2.0,600.0,0.97,1.0,107.5683187174158
16,16.0,1.0,1.0,142.0,475.0,0.005,1.0,2.0,600.0,0.99,1.0,102.66943807542799
17,17.0,1.0,1.0,142.0,475.0,0.005,1.0,2.0,600.0,0.993,1.0,101.0574872294637
18,18.0,1.0,1.0,142.0,475.0,0.005,1.0,2.0,600.0,0.995,1.0,98.51045946426588
19,19.0,1.0,1.0,142.0,475.0,0.005,1.0,2.0,600.0,0.997,1.0,95.68534546781677
20,20.0,1.0,1.0,142.0,475.0,0.005,1.0,3.0,400.0,0.97,1.0,119.19903883269879
21,21.0,1.0,1.0,142.0,475.0,0.005,1.0,3.0,400.0,0.99,1.0,110.4600726009791
22,22.0,1.0,1.0,142.0,475.0,0.005,1.0,3.0,400.0,0.993,1.0,107.01076521375957
23,23.0,1.0,1.0,142.0,475.0,0.005,1.0,3.0,400.0,0.995,1.0,104.93831408484337
24,24.0,1.0,1.0,142.0,475.0,0.005,1.0,3.0,400.0,0.997,1.0,103.56791751899536
25,25.0,1.0,1.0,142.0,475.0,0.005,1.0,3.0,600.0,0.97,1.0,108.91999692859727
26,26.0,1.0,1.0,142.0,475.0,0.005,1.0,3.0,600.0,0.99,1.0,100.45390063959235
27,27.0,1.0,1.0,142.0,475.0,0.005,1.0,3.0,600.0,0.993,1.0,96.53929365914105
28,28.0,1.0,1.0,142.0,475.0,0.005,1.0,3.0,600.0,0.995,1.0,93.88979905011392
29,29.0,1.0,1.0,142.0,475.0,0.005,1.0,3.0,600.0,0.997,1.0,91.59376319114926
30,30.0,1.0,1.0,142.0,475.0,0.005,1.0,4.0,400.0,0.97,1.0,130.63175271533697
31,31.0,1.0,1.0,142.0,475.0,0.005,1.0,4.0,400.0,0.99,1.0,112.30525557684824
32,32.0,1.0,1.0,142.0,475.0,0.005,1.0,4.0,400.0,0.993,1.0,107.52721156937804
33,33.0,1.0,1.0,142.0,475.0,0.005,1.0,4.0,400.0,0.995,1.0,104.70364721159395
34,34.0,1.0,1.0,142.0,475.0,0.005,1.0,4.0,400.0,0.997,1.0,104.4018745019909
35,35.0,1.0,1.0,142.0,475.0,0.005,1.0,4.0,600.0,0.97,1.0,117.80686036279245
36,36.0,1.0,1.0,142.0,475.0,0.005,1.0,4.0,600.0,0.99,1.0,102.13761520283407
37,37.0,1.0,1.0,142.0,475.0,0.005,1.0,4.0,600.0,0.993,1.0,97.7653740692343
38,38.0,1.0,1.0,142.0,475.0,0.005,1.0,4.0,600.0,0.995,1.0,94.06867775717764
39,39.0,1.0,1.0,142.0,475.0,0.005,1.0,4.0,600.0,0.997,1.0,92.57298453538894
40,40.0,1.0,1.0,142.0,475.0,0.005,2.0,1.0,400.0,0.97,1.0,96.02531119596601
41,41.0,1.0,1.0,142.0,475.0,0.005,2.0,1.0,400.0,0.99,1.0,99.39424075137534
42,42.0,1.0,1.0,142.0,475.0,0.005,2.0,1.0,400.0,0.993,1.0,101.94600957468629
43,43.0,1.0,1.0,142.0,475.0,0.005,2.0,1.0,400.0,0.995,1.0,105.77154474961772
44,44.0,1.0,1.0,142.0,475.0,0.005,2.0,1.0,400.0,0.997,1.0,114.64885581179158
45,45.0,1.0,1.0,142.0,475.0,0.005,2.0,1.0,600.0,0.97,1.0,90.91479421897641
46,46.0,1.0,1.0,142.0,475.0,0.005,2.0,1.0,600.0,0.99,1.0,91.46446916189781
47,47.0,1.0,1.0,142.0,475.0,0.005,2.0,1.0,600.0,0.993,1.0,91.87306591711987
48,48.0,1.0,1.0,142.0,475.0,0.005,2.0,1.0,600.0,0.995,1.0,92.83340019170562
49,49.0,1.0,1.0,142.0,475.0,0.005,2.0,1.0,600.0,0.997,1.0,96.16258029510549
