,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
1639,39,39.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,600.0,0.997,1.0,1.4072980122504712
2414,14,14.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,400.0,0.997,1.0,1.3841426573117095
2419,19,19.0,1.0,1.0,127.0,424.0,0.03,1.0,2.0,600.0,0.997,1.0,1.398004242188872
2432,32,32.0,1.0,1.0,127.0,424.0,0.03,1.0,4.0,400.0,0.993,1.0,1.4123382966151594
2434,34,34.0,1.0,1.0,127.0,424.0,0.03,1.0,4.0,400.0,0.997,1.0,1.4011898425908715
2439,39,39.0,1.0,1.0,127.0,424.0,0.03,1.0,4.0,600.0,0.997,1.0,1.4041726051461605
3212,12,12.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,400.0,0.993,1.0,1.4049856172326085
3213,13,13.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,400.0,0.995,1.0,1.3922735621054712
3214,14,14.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,400.0,0.997,1.0,1.3849774841134972
3219,19,19.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,600.0,0.997,1.0,1.3969461936657883
2569,169,169.0,1.0,1.0,317.0,424.0,0.03,1.0,1.0,600.0,0.997,1.0,1.2910369260992665
2574,174,174.0,1.0,1.0,317.0,424.0,0.03,1.0,2.0,400.0,0.997,1.0,1.2915687263286766
2579,179,179.0,1.0,1.0,317.0,424.0,0.03,1.0,2.0,600.0,0.997,1.0,1.2904491419686523
2613,213,213.0,1.0,1.0,317.0,424.0,0.03,2.0,2.0,400.0,0.995,1.0,1.2843215322071355
2614,214,214.0,1.0,1.0,317.0,424.0,0.03,2.0,2.0,400.0,0.997,1.0,1.283734365783328
3363,163,163.0,1.0,1.0,317.0,424.0,0.07,1.0,1.0,400.0,0.995,1.0,1.2878071398219386
3364,164,164.0,1.0,1.0,317.0,424.0,0.07,1.0,1.0,400.0,0.997,1.0,1.2829118262516352
3372,172,172.0,1.0,1.0,317.0,424.0,0.07,1.0,2.0,400.0,0.993,1.0,1.291499529156683
3373,173,173.0,1.0,1.0,317.0,424.0,0.07,1.0,2.0,400.0,0.995,1.0,1.284453680115094
3374,174,174.0,1.0,1.0,317.0,424.0,0.07,1.0,2.0,400.0,0.997,1.0,1.284905543097242
2018,418,418.0,1.0,1.0,635.0,424.0,0.01,3.0,2.0,600.0,0.995,1.0,1.264134257299803
2059,459,459.0,1.0,1.0,635.0,424.0,0.01,4.0,2.0,600.0,0.997,1.0,1.2643416524306357
2066,466,466.0,1.0,1.0,635.0,424.0,0.01,4.0,3.0,600.0,0.99,1.0,1.2643385984945703
2067,467,467.0,1.0,1.0,635.0,424.0,0.01,4.0,3.0,600.0,0.993,1.0,1.2628662772248451
2068,468,468.0,1.0,1.0,635.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,1.2648805873885776
2077,477,477.0,1.0,1.0,635.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,1.2640648658276643
2772,372,372.0,1.0,1.0,635.0,424.0,0.03,2.0,2.0,400.0,0.993,1.0,1.2607957471637854
2773,373,373.0,1.0,1.0,635.0,424.0,0.03,2.0,2.0,400.0,0.995,1.0,1.2611008133713062
2774,374,374.0,1.0,1.0,635.0,424.0,0.03,2.0,2.0,400.0,0.997,1.0,1.2651876660764143
3539,339,339.0,1.0,1.0,635.0,424.0,0.07,1.0,2.0,600.0,0.997,1.0,1.2616394459459102
2941,541,541.0,1.0,1.0,953.0,424.0,0.03,2.0,3.0,400.0,0.99,1.0,1.2105028259454345
2942,542,542.0,1.0,1.0,953.0,424.0,0.03,2.0,3.0,400.0,0.993,1.0,1.210275131132898
2946,546,546.0,1.0,1.0,953.0,424.0,0.03,2.0,3.0,600.0,0.99,1.0,1.2089193439334318
2947,547,547.0,1.0,1.0,953.0,424.0,0.03,2.0,3.0,600.0,0.993,1.0,1.206837698125784
2994,594,594.0,1.0,1.0,953.0,424.0,0.03,3.0,4.0,400.0,0.997,1.0,1.2118841362142034
3709,509,509.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,600.0,0.997,1.0,1.2120223880396477
3711,511,511.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,400.0,0.99,1.0,1.208522271497685
3712,512,512.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,400.0,0.993,1.0,1.2105396511649738
3717,517,517.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,600.0,0.993,1.0,1.207459877359592
3719,519,519.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,600.0,0.997,1.0,1.208006629940058
3136,736,736.0,1.0,1.0,1258.0,424.0,0.03,3.0,2.0,600.0,0.99,1.0,1.1996147889859896
3137,737,737.0,1.0,1.0,1258.0,424.0,0.03,3.0,2.0,600.0,0.993,1.0,1.198577432152414
3162,762,762.0,1.0,1.0,1258.0,424.0,0.03,4.0,1.0,400.0,0.993,1.0,1.200585254950728
3172,772,772.0,1.0,1.0,1258.0,424.0,0.03,4.0,2.0,400.0,0.993,1.0,1.1990894469879108
3173,773,773.0,1.0,1.0,1258.0,424.0,0.03,4.0,2.0,400.0,0.995,1.0,1.2008633030862634
3177,777,777.0,1.0,1.0,1258.0,424.0,0.03,4.0,2.0,600.0,0.993,1.0,1.2004218281381511
3178,778,778.0,1.0,1.0,1258.0,424.0,0.03,4.0,2.0,600.0,0.995,1.0,1.2011261007755345
3181,781,781.0,1.0,1.0,1258.0,424.0,0.03,4.0,3.0,400.0,0.99,1.0,1.2000933774219316
