,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
827,192,192.0,1.0,1.0,317.0,424.0,0.07,1.0,4.0,400.0,0.993,1.0,3.822708300677772,673,28,334
907,193,193.0,1.0,1.0,317.0,424.0,0.07,1.0,4.0,400.0,0.995,1.0,3.8622189910380818,674,108,344
1661,353,353.0,1.0,1.0,635.0,424.0,0.07,1.0,4.0,400.0,0.995,1.0,3.723130484220031,674,62,344
2484,513,513.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,400.0,0.995,1.0,3.6888607712840025,674,85,344
88,33,33.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,400.0,0.995,1.0,4.081495819601638,674,89,344
2525,503,503.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,400.0,0.995,1.0,3.7004486585166,664,126,349
1795,343,343.0,1.0,1.0,635.0,424.0,0.07,1.0,3.0,400.0,0.995,1.0,3.750542300746998,664,196,349
23,23,23.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,400.0,0.995,1.0,4.022641269951638,664,24,349
802,183,183.0,1.0,1.0,317.0,424.0,0.07,1.0,3.0,400.0,0.995,1.0,3.7870111522412846,664,3,349
801,187,187.0,1.0,1.0,317.0,424.0,0.07,1.0,3.0,600.0,0.993,1.0,3.786503668670016,668,2,350
300,27,27.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,600.0,0.993,1.0,4.235020708842465,668,301,350
1602,347,347.0,1.0,1.0,635.0,424.0,0.07,1.0,3.0,600.0,0.993,1.0,3.688180632951481,668,3,350
2443,507,507.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,600.0,0.993,1.0,3.6750868299760615,668,44,350
1665,463,463.0,1.0,1.0,635.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,3.724878231150512,624,66,355
170,143,143.0,1.0,1.0,127.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,4.130457199503295,624,171,355
2463,623,623.0,1.0,1.0,953.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,3.6831387879843263,624,64,355
853,303,303.0,1.0,1.0,317.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,3.841390264080213,624,54,355
841,197,197.0,1.0,1.0,317.0,424.0,0.07,1.0,4.0,600.0,0.993,1.0,3.83269183108788,678,42,364
296,37,37.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,600.0,0.993,1.0,4.229934238238702,678,297,364
1617,357,357.0,1.0,1.0,635.0,424.0,0.07,1.0,4.0,600.0,0.993,1.0,3.7014941011773623,678,18,364
2406,517,517.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,600.0,0.993,1.0,3.649429891406352,678,7,364
1621,474,474.0,1.0,1.0,635.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,3.70467152035845,635,22,365
37,154,154.0,1.0,1.0,127.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,4.047165492074933,635,38,365
2453,634,634.0,1.0,1.0,953.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,3.680136560295327,635,54,365
1050,314,314.0,1.0,1.0,317.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,3.9030797655827096,635,251,365
1624,477,477.0,1.0,1.0,635.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,3.707370394652767,478,25,376
91,157,157.0,1.0,1.0,127.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,4.0831850281135695,478,92,376
943,317,317.0,1.0,1.0,317.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,3.8747662426435303,478,144,376
