,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
819,19,19.0,1.0,1.0,142.0,475.0,0.007,1.0,2.0,600.0,0.997,1.0,6.360374174168122
837,37,37.0,1.0,1.0,142.0,475.0,0.007,1.0,4.0,600.0,0.993,1.0,6.337613473897659
1614,14,14.0,1.0,1.0,142.0,475.0,0.01,1.0,2.0,400.0,0.997,1.0,6.3546900266093775
1618,18,18.0,1.0,1.0,142.0,475.0,0.01,1.0,2.0,600.0,0.995,1.0,6.359570104909004
1619,19,19.0,1.0,1.0,142.0,475.0,0.01,1.0,2.0,600.0,0.997,1.0,6.25276266644623
1631,31,31.0,1.0,1.0,142.0,475.0,0.01,1.0,4.0,400.0,0.99,1.0,6.362972753326747
1633,33,33.0,1.0,1.0,142.0,475.0,0.01,1.0,4.0,400.0,0.995,1.0,6.361887408520493
2403,3,3.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,400.0,0.995,1.0,6.334570339130769
2404,4,4.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,400.0,0.997,1.0,6.293808787037804
2414,14,14.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,400.0,0.997,1.0,6.342083211771973
1788,188,188.0,1.0,1.0,356.0,475.0,0.01,1.0,3.0,600.0,0.995,1.0,5.918020485773651
1789,189,189.0,1.0,1.0,356.0,475.0,0.01,1.0,3.0,600.0,0.997,1.0,5.893281491929473
1798,198,198.0,1.0,1.0,356.0,475.0,0.01,1.0,4.0,600.0,0.995,1.0,5.8932761851909055
1799,199,199.0,1.0,1.0,356.0,475.0,0.01,1.0,4.0,600.0,0.997,1.0,5.855641515402403
2583,183,183.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,400.0,0.995,1.0,5.912464618179765
2591,191,191.0,1.0,1.0,356.0,475.0,0.03,1.0,4.0,400.0,0.99,1.0,5.930153058702297
2592,192,192.0,1.0,1.0,356.0,475.0,0.03,1.0,4.0,400.0,0.993,1.0,5.9168144160895615
2593,193,193.0,1.0,1.0,356.0,475.0,0.03,1.0,4.0,400.0,0.995,1.0,5.900998064546233
3380,180,180.0,1.0,1.0,356.0,475.0,0.07,1.0,3.0,400.0,0.97,1.0,5.905527631607013
3385,185,185.0,1.0,1.0,356.0,475.0,0.07,1.0,3.0,600.0,0.97,1.0,5.904010293813469
2738,338,338.0,1.0,1.0,712.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,5.809044124697548
2739,339,339.0,1.0,1.0,712.0,475.0,0.03,1.0,2.0,600.0,0.997,1.0,5.813823332178421
2743,343,343.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,400.0,0.995,1.0,5.814759940399344
3531,331,331.0,1.0,1.0,712.0,475.0,0.07,1.0,2.0,400.0,0.99,1.0,5.815277614320151
3532,332,332.0,1.0,1.0,712.0,475.0,0.07,1.0,2.0,400.0,0.993,1.0,5.808319577055877
3533,333,333.0,1.0,1.0,712.0,475.0,0.07,1.0,2.0,400.0,0.995,1.0,5.797841891109869
3534,334,334.0,1.0,1.0,712.0,475.0,0.07,1.0,2.0,400.0,0.997,1.0,5.801222063994191
3537,337,337.0,1.0,1.0,712.0,475.0,0.07,1.0,2.0,600.0,0.993,1.0,5.810549125852221
3538,338,338.0,1.0,1.0,712.0,475.0,0.07,1.0,2.0,600.0,0.995,1.0,5.791137969175998
3539,339,339.0,1.0,1.0,712.0,475.0,0.07,1.0,2.0,600.0,0.997,1.0,5.786546359385937
2206,606,606.0,1.0,1.0,1068.0,475.0,0.01,4.0,1.0,600.0,0.99,1.0,5.727869826919961
2920,520,520.0,1.0,1.0,1068.0,475.0,0.03,2.0,1.0,400.0,0.97,1.0,5.72761016006357
2925,525,525.0,1.0,1.0,1068.0,475.0,0.03,2.0,1.0,600.0,0.97,1.0,5.729943735327522
2927,527,527.0,1.0,1.0,1068.0,475.0,0.03,2.0,1.0,600.0,0.993,1.0,5.729611011807283
2930,530,530.0,1.0,1.0,1068.0,475.0,0.03,2.0,2.0,400.0,0.97,1.0,5.701761266264396
2935,535,535.0,1.0,1.0,1068.0,475.0,0.03,2.0,2.0,600.0,0.97,1.0,5.7205394362678845
2936,536,536.0,1.0,1.0,1068.0,475.0,0.03,2.0,2.0,600.0,0.99,1.0,5.726773663757315
2941,541,541.0,1.0,1.0,1068.0,475.0,0.03,2.0,3.0,400.0,0.99,1.0,5.71804558379228
2943,543,543.0,1.0,1.0,1068.0,475.0,0.03,2.0,3.0,400.0,0.995,1.0,5.729488357848665
2948,548,548.0,1.0,1.0,1068.0,475.0,0.03,2.0,3.0,600.0,0.995,1.0,5.696744172908511
3080,680,680.0,1.0,1.0,1410.0,475.0,0.03,2.0,1.0,400.0,0.97,1.0,5.626952899247521
3085,685,685.0,1.0,1.0,1410.0,475.0,0.03,2.0,1.0,600.0,0.97,1.0,5.627505374719465
3086,686,686.0,1.0,1.0,1410.0,475.0,0.03,2.0,1.0,600.0,0.99,1.0,5.625470174280357
3087,687,687.0,1.0,1.0,1410.0,475.0,0.03,2.0,1.0,600.0,0.993,1.0,5.627256638760872
3096,696,696.0,1.0,1.0,1410.0,475.0,0.03,2.0,2.0,600.0,0.99,1.0,5.628525242833687
3097,697,697.0,1.0,1.0,1410.0,475.0,0.03,2.0,2.0,600.0,0.993,1.0,5.6363262032136445
