,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
202,362.0,1.0,1.0,317.0,424.0,0.1,1.0,600.0,3.901007963839671,171,11,140
385,554.0,1.0,1.0,635.0,424.0,0.1,1.0,600.0,3.742320700327548,171,2,140
577,746.0,1.0,1.0,953.0,424.0,0.1,1.0,600.0,3.699177788777566,171,2,140
234,277.0,1.0,1.0,317.0,424.0,0.01,4.0,400.0,3.915021295735072,86,43,141
46,85.0,1.0,1.0,127.0,424.0,0.01,4.0,400.0,4.387268985664477,86,47,141
408,469.0,1.0,1.0,635.0,424.0,0.01,4.0,400.0,3.77079119752247,86,25,141
601,661.0,1.0,1.0,953.0,424.0,0.01,4.0,400.0,3.732396281850264,86,26,141
620,642.0,1.0,1.0,953.0,424.0,0.007,5.0,600.0,3.7390088135079047,67,45,142
400,450.0,1.0,1.0,635.0,424.0,0.007,5.0,600.0,3.764918410057617,67,17,142
51,66.0,1.0,1.0,127.0,424.0,0.007,5.0,600.0,4.388642815905647,67,52,142
219,258.0,1.0,1.0,317.0,424.0,0.007,5.0,600.0,3.910006991756816,67,28,142
578,723.0,1.0,1.0,953.0,424.0,0.07,1.0,800.0,3.7055589292372826,148,3,143
118,147.0,1.0,1.0,127.0,424.0,0.07,1.0,800.0,4.635208651741449,148,119,143
204,339.0,1.0,1.0,317.0,424.0,0.07,1.0,800.0,3.901581081189139,148,13,143
391,531.0,1.0,1.0,635.0,424.0,0.07,1.0,800.0,3.7509059994501377,148,8,143
584,722.0,1.0,1.0,953.0,424.0,0.07,1.0,600.0,3.723110010069332,147,9,145
110,146.0,1.0,1.0,127.0,424.0,0.07,1.0,600.0,4.560574130618324,147,111,145
401,530.0,1.0,1.0,635.0,424.0,0.07,1.0,600.0,3.7653559662498894,147,18,145
198,338.0,1.0,1.0,317.0,424.0,0.07,1.0,600.0,3.8993072984618617,147,7,145
108,123.0,1.0,1.0,127.0,424.0,0.05,1.0,800.0,4.547918903548896,124,109,149
197,315.0,1.0,1.0,317.0,424.0,0.05,1.0,800.0,3.89917247003468,124,6,149
593,699.0,1.0,1.0,953.0,424.0,0.05,1.0,800.0,3.726954045732124,124,18,149
399,507.0,1.0,1.0,635.0,424.0,0.05,1.0,800.0,3.7640771555236494,124,16,149
243,231.0,1.0,1.0,317.0,424.0,0.005,4.0,800.0,3.91980646873362,40,52,153
407,423.0,1.0,1.0,635.0,424.0,0.005,4.0,800.0,3.770757207269277,40,24,153
607,615.0,1.0,1.0,953.0,424.0,0.005,4.0,800.0,3.7353411497081535,40,32,153
44,39.0,1.0,1.0,127.0,424.0,0.005,4.0,800.0,4.386966601012836,40,45,153
586,639.0,1.0,1.0,953.0,424.0,0.007,4.0,800.0,3.723545737615368,64,11,154
416,447.0,1.0,1.0,635.0,424.0,0.007,4.0,800.0,3.778285498580983,64,33,154
230,255.0,1.0,1.0,317.0,424.0,0.007,4.0,800.0,3.9140966910676736,64,39,154
70,63.0,1.0,1.0,127.0,424.0,0.007,4.0,800.0,4.419945194148967,64,71,154
74,71.0,1.0,1.0,127.0,424.0,0.007,6.0,800.0,4.421074046982984,72,75,157
216,263.0,1.0,1.0,317.0,424.0,0.007,6.0,800.0,3.908527985939373,72,25,157
410,455.0,1.0,1.0,635.0,424.0,0.007,6.0,800.0,3.7732218544159872,72,27,157
605,647.0,1.0,1.0,953.0,424.0,0.007,6.0,800.0,3.733385104422529,72,30,157
612,638.0,1.0,1.0,953.0,424.0,0.007,4.0,600.0,3.736636918466196,63,37,162
420,446.0,1.0,1.0,635.0,424.0,0.007,4.0,600.0,3.7799291755735913,63,37,162
224,254.0,1.0,1.0,317.0,424.0,0.007,4.0,600.0,3.912935166548041,63,33,162
54,62.0,1.0,1.0,127.0,424.0,0.007,4.0,600.0,4.389686622722022,63,55,162
84,94.0,1.0,1.0,127.0,424.0,0.01,6.0,600.0,4.4341846517097645,95,85,166
232,286.0,1.0,1.0,317.0,424.0,0.01,6.0,600.0,3.914387269854264,95,41,166
592,670.0,1.0,1.0,953.0,424.0,0.01,6.0,600.0,3.7264588571902624,95,17,166
406,478.0,1.0,1.0,635.0,424.0,0.01,6.0,600.0,3.7683764220011895,95,23,166
616,643.0,1.0,1.0,953.0,424.0,0.007,5.0,800.0,3.737436003089161,68,41,167
421,451.0,1.0,1.0,635.0,424.0,0.007,5.0,800.0,3.780202016433456,68,38,167
207,259.0,1.0,1.0,317.0,424.0,0.007,5.0,800.0,3.9038508556902536,68,16,167
71,67.0,1.0,1.0,127.0,424.0,0.007,5.0,800.0,4.420113165925299,68,72,167
82,86.0,1.0,1.0,127.0,424.0,0.01,4.0,600.0,4.433605219901391,87,83,173
240,278.0,1.0,1.0,317.0,424.0,0.01,4.0,600.0,3.918162858931598,87,49,173
582,662.0,1.0,1.0,953.0,424.0,0.01,4.0,600.0,3.717969545898213,87,7,173
417,470.0,1.0,1.0,635.0,424.0,0.01,4.0,600.0,3.7783641585458,87,34,173
409,407.0,1.0,1.0,635.0,424.0,0.003,6.0,800.0,3.7723694027607504,24,26,175
676,599.0,1.0,1.0,953.0,424.0,0.003,6.0,800.0,3.7897995953167314,24,101,175
223,215.0,1.0,1.0,317.0,424.0,0.003,6.0,800.0,3.9126688416367656,24,32,175
15,23.0,1.0,1.0,127.0,424.0,0.003,6.0,800.0,4.278471397983266,24,16,175
91,87.0,1.0,1.0,127.0,424.0,0.01,4.0,800.0,4.46712342020184,88,92,176
239,279.0,1.0,1.0,317.0,424.0,0.01,4.0,800.0,3.918124576655479,88,48,176
580,663.0,1.0,1.0,953.0,424.0,0.01,4.0,800.0,3.717595815179646,88,5,176
414,471.0,1.0,1.0,635.0,424.0,0.01,4.0,800.0,3.776801850169341,88,31,176
139,171.0,1.0,1.0,127.0,424.0,0.1,1.0,800.0,4.756413827201865,172,140,182
576,747.0,1.0,1.0,953.0,424.0,0.1,1.0,800.0,3.681270680778834,172,1,182
384,555.0,1.0,1.0,635.0,424.0,0.1,1.0,800.0,3.7348576838665375,172,1,182
231,363.0,1.0,1.0,317.0,424.0,0.1,1.0,800.0,3.9141541797597688,172,40,182
427,399.0,1.0,1.0,635.0,424.0,0.003,4.0,800.0,3.786560903245833,16,44,194
13,15.0,1.0,1.0,127.0,424.0,0.003,4.0,800.0,4.277908944019539,16,14,194
235,207.0,1.0,1.0,317.0,424.0,0.003,4.0,800.0,3.915997351101082,16,44,194
667,591.0,1.0,1.0,953.0,424.0,0.003,4.0,800.0,3.782801440969192,16,92,194
233,211.0,1.0,1.0,317.0,424.0,0.003,5.0,800.0,3.914664443771643,20,42,195
604,667.0,1.0,1.0,953.0,424.0,0.01,5.0,800.0,3.733163328045368,92,29,195
672,595.0,1.0,1.0,953.0,424.0,0.003,5.0,800.0,3.786033644611886,20,97,195
426,403.0,1.0,1.0,635.0,424.0,0.003,5.0,800.0,3.785808995320913,20,43,195
12,19.0,1.0,1.0,127.0,424.0,0.003,5.0,800.0,4.277684593831311,20,13,195
419,475.0,1.0,1.0,635.0,424.0,0.01,5.0,800.0,3.7797096712152696,92,36,195
93,91.0,1.0,1.0,127.0,424.0,0.01,5.0,800.0,4.467700553478013,92,94,195
227,283.0,1.0,1.0,317.0,424.0,0.01,5.0,800.0,3.913793316569345,92,36,195
583,685.0,1.0,1.0,953.0,424.0,0.03,4.0,400.0,3.7180009057341374,110,8,211
247,301.0,1.0,1.0,317.0,424.0,0.03,4.0,400.0,3.921674336215942,110,56,211
111,109.0,1.0,1.0,127.0,424.0,0.03,4.0,400.0,4.562979066944764,110,112,211
418,493.0,1.0,1.0,635.0,424.0,0.03,4.0,400.0,3.7786124486205535,110,35,211
663,657.0,1.0,1.0,953.0,424.0,0.01,3.0,400.0,3.777090074556849,82,88,214
441,465.0,1.0,1.0,635.0,424.0,0.01,3.0,400.0,3.797939216537464,82,58,214
40,81.0,1.0,1.0,127.0,424.0,0.01,3.0,400.0,4.386731071971872,82,41,214
218,273.0,1.0,1.0,317.0,424.0,0.01,3.0,400.0,3.909914780167677,82,27,214
424,506.0,1.0,1.0,635.0,424.0,0.05,1.0,600.0,3.78253128276926,123,41,219
206,314.0,1.0,1.0,317.0,424.0,0.05,1.0,600.0,3.9028683188471542,123,15,219
639,698.0,1.0,1.0,953.0,424.0,0.05,1.0,600.0,3.752541458892508,123,64,219
222,227.0,1.0,1.0,317.0,424.0,0.005,3.0,800.0,3.911272035022989,36,31,219
438,419.0,1.0,1.0,635.0,424.0,0.005,3.0,800.0,3.797097102783306,36,55,219
665,611.0,1.0,1.0,953.0,424.0,0.005,3.0,800.0,3.778531787568833,36,90,219
42,35.0,1.0,1.0,127.0,424.0,0.005,3.0,800.0,4.3867506154642175,36,43,219
98,122.0,1.0,1.0,127.0,424.0,0.05,1.0,600.0,4.495186414037549,123,99,219
226,226.0,1.0,1.0,317.0,424.0,0.005,3.0,600.0,3.9134461381178167,35,35,226
682,610.0,1.0,1.0,953.0,424.0,0.005,3.0,600.0,3.7976645805940654,35,107,226
26,34.0,1.0,1.0,127.0,424.0,0.005,3.0,600.0,4.325336818439054,35,27,226
440,418.0,1.0,1.0,635.0,424.0,0.005,3.0,600.0,3.797722897998862,35,57,226
96,145.0,1.0,1.0,127.0,424.0,0.07,1.0,400.0,4.4844064396162855,146,97,227
205,337.0,1.0,1.0,317.0,424.0,0.07,1.0,400.0,3.9015938132405057,146,14,227
643,721.0,1.0,1.0,953.0,424.0,0.07,1.0,400.0,3.7566628958652175,146,68,227
431,529.0,1.0,1.0,635.0,424.0,0.07,1.0,400.0,3.7901994669190673,146,48,227
94,95.0,1.0,1.0,127.0,424.0,0.01,6.0,800.0,4.468865227269816,96,95,230
422,479.0,1.0,1.0,635.0,424.0,0.01,6.0,800.0,3.780642867087919,96,39,230
600,671.0,1.0,1.0,953.0,424.0,0.01,6.0,800.0,3.732320108265148,96,25,230
262,287.0,1.0,1.0,317.0,424.0,0.01,6.0,800.0,3.94060254875286,96,71,230
220,250.0,1.0,1.0,317.0,424.0,0.007,3.0,600.0,3.910363612084452,59,29,233
55,58.0,1.0,1.0,127.0,424.0,0.007,3.0,600.0,4.389746806314799,59,56,233
446,442.0,1.0,1.0,635.0,424.0,0.007,3.0,600.0,3.800582658259733,59,63,233
660,634.0,1.0,1.0,953.0,424.0,0.007,3.0,600.0,3.774114412621508,59,85,233
654,635.0,1.0,1.0,953.0,424.0,0.007,3.0,800.0,3.765781814227149,60,79,234
212,251.0,1.0,1.0,317.0,424.0,0.007,3.0,800.0,3.904730140302093,60,21,234
