,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
811,209,209.0,1.0,1.0,317.0,424.0,0.03,2.0,1.0,600.0,0.997,1.0,32.38080322450838,530,12,68
13,49,49.0,1.0,1.0,127.0,424.0,0.03,2.0,1.0,600.0,0.997,1.0,34.75299964878807,530,14,68
3207,689,689.0,1.0,1.0,1258.0,424.0,0.03,2.0,1.0,600.0,0.997,1.0,29.14427368484416,530,8,68
1619,369,369.0,1.0,1.0,635.0,424.0,0.03,2.0,1.0,600.0,0.997,1.0,31.150388981421923,530,20,68
2413,529,529.0,1.0,1.0,953.0,424.0,0.03,2.0,1.0,600.0,0.997,1.0,29.329114159434106,530,14,68
38,6,6.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,600.0,0.99,1.0,35.078952931175095,487,39,81
1600,326,326.0,1.0,1.0,635.0,424.0,0.03,1.0,1.0,600.0,0.99,1.0,30.01592165988475,487,1,81
803,166,166.0,1.0,1.0,317.0,424.0,0.03,1.0,1.0,600.0,0.99,1.0,31.97799920112756,487,4,81
2408,486,486.0,1.0,1.0,953.0,424.0,0.03,1.0,1.0,600.0,0.99,1.0,29.27276968736773,487,9,81
3227,646,646.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,600.0,0.99,1.0,29.44890903586603,487,28,81
3225,684,684.0,1.0,1.0,1258.0,424.0,0.07,2.0,1.0,400.0,0.997,1.0,29.420929073632312,685,26,92
2415,524,524.0,1.0,1.0,953.0,424.0,0.07,2.0,1.0,400.0,0.997,1.0,29.340490058996576,685,16,92
816,204,204.0,1.0,1.0,317.0,424.0,0.07,2.0,1.0,400.0,0.997,1.0,32.48533278337777,685,17,92
1627,364,364.0,1.0,1.0,635.0,424.0,0.07,2.0,1.0,400.0,0.997,1.0,31.296355040636165,685,28,92
4,44,44.0,1.0,1.0,127.0,424.0,0.07,2.0,1.0,400.0,0.997,1.0,34.45564420884451,685,5,92
1613,322,322.0,1.0,1.0,635.0,424.0,0.07,1.0,1.0,400.0,0.993,1.0,31.074993450038995,643,14,95
817,162,162.0,1.0,1.0,317.0,424.0,0.07,1.0,1.0,400.0,0.993,1.0,32.53276708237482,643,18,95
2418,482,482.0,1.0,1.0,953.0,424.0,0.07,1.0,1.0,400.0,0.993,1.0,29.40608508619881,643,19,95
3222,642,642.0,1.0,1.0,1258.0,424.0,0.07,1.0,1.0,400.0,0.993,1.0,29.395091063669728,643,23,95
20,2,2.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,400.0,0.993,1.0,34.79834541725748,643,21,95
27,8,8.0,1.0,1.0,127.0,424.0,0.03,1.0,1.0,600.0,0.995,1.0,34.91009812865529,489,28,97
2414,488,488.0,1.0,1.0,953.0,424.0,0.03,1.0,1.0,600.0,0.995,1.0,29.340327672964776,489,15,97
1620,328,328.0,1.0,1.0,635.0,424.0,0.03,1.0,1.0,600.0,0.995,1.0,31.187949693044995,489,21,97
3226,648,648.0,1.0,1.0,1258.0,424.0,0.03,1.0,1.0,600.0,0.995,1.0,29.43873328152786,489,27,97
805,168,168.0,1.0,1.0,317.0,424.0,0.03,1.0,1.0,600.0,0.995,1.0,32.06005615041287,489,6,97
23,3,3.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,400.0,0.995,1.0,34.864083219152995,644,24,99
3223,643,643.0,1.0,1.0,1258.0,424.0,0.07,1.0,1.0,400.0,0.995,1.0,29.39693395655518,644,24,99
812,163,163.0,1.0,1.0,317.0,424.0,0.07,1.0,1.0,400.0,0.995,1.0,32.42179902352192,644,13,99
2424,483,483.0,1.0,1.0,953.0,424.0,0.07,1.0,1.0,400.0,0.995,1.0,29.42139624374798,644,25,99
1612,323,323.0,1.0,1.0,635.0,424.0,0.07,1.0,1.0,400.0,0.995,1.0,31.06177497762486,644,13,99
2440,524,524.0,1.0,1.0,953.0,424.0,0.03,2.0,1.0,400.0,0.997,1.0,29.587635097601797,525,41,102
3233,684,684.0,1.0,1.0,1258.0,424.0,0.03,2.0,1.0,400.0,0.997,1.0,29.564219663219884,525,34,102
808,204,204.0,1.0,1.0,317.0,424.0,0.03,2.0,1.0,400.0,0.997,1.0,32.13815791469173,525,9,102
1611,364,364.0,1.0,1.0,635.0,424.0,0.03,2.0,1.0,400.0,0.997,1.0,30.9777801884267,525,12,102
5,44,44.0,1.0,1.0,127.0,424.0,0.03,2.0,1.0,400.0,0.997,1.0,34.49477068369481,525,6,102
2417,488,488.0,1.0,1.0,953.0,424.0,0.07,1.0,1.0,600.0,0.995,1.0,29.401346444508956,649,18,116
821,168,168.0,1.0,1.0,317.0,424.0,0.07,1.0,1.0,600.0,0.995,1.0,32.64225898835152,649,22,116
3215,648,648.0,1.0,1.0,1258.0,424.0,0.07,1.0,1.0,600.0,0.995,1.0,29.330563381579136,649,16,116
1639,328,328.0,1.0,1.0,635.0,424.0,0.07,1.0,1.0,600.0,0.995,1.0,31.43054401516296,649,40,116
19,8,8.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,600.0,0.995,1.0,34.7940545687537,649,20,116
1615,329,329.0,1.0,1.0,635.0,424.0,0.07,1.0,1.0,600.0,0.997,1.0,31.106661159325952,650,16,117
813,169,169.0,1.0,1.0,317.0,424.0,0.07,1.0,1.0,600.0,0.997,1.0,32.430551238501835,650,14,117
3228,649,649.0,1.0,1.0,1258.0,424.0,0.07,1.0,1.0,600.0,0.997,1.0,29.46965290981964,650,29,117
30,9,9.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,600.0,0.997,1.0,34.941696295133376,650,31,117
2426,489,489.0,1.0,1.0,953.0,424.0,0.07,1.0,1.0,600.0,0.997,1.0,29.47470150968987,650,27,117
3218,647,647.0,1.0,1.0,1258.0,424.0,0.07,1.0,1.0,600.0,0.993,1.0,29.345487772545237,648,19,121
1642,327,327.0,1.0,1.0,635.0,424.0,0.07,1.0,1.0,600.0,0.993,1.0,31.47339249545729,648,43,121
825,167,167.0,1.0,1.0,317.0,424.0,0.07,1.0,1.0,600.0,0.993,1.0,32.70744416851356,648,26,121
2419,487,487.0,1.0,1.0,953.0,424.0,0.07,1.0,1.0,600.0,0.993,1.0,29.40675072462968,648,20,121
12,7,7.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,600.0,0.993,1.0,34.738649045426726,648,13,121
3214,645,645.0,1.0,1.0,1258.0,424.0,0.07,1.0,1.0,600.0,0.97,1.0,29.316286431851097,646,15,123
818,165,165.0,1.0,1.0,317.0,424.0,0.07,1.0,1.0,600.0,0.97,1.0,32.55461385509927,646,19,123
2420,485,485.0,1.0,1.0,953.0,424.0,0.07,1.0,1.0,600.0,0.97,1.0,29.408285273800686,646,21,123
61,5,5.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,600.0,0.97,1.0,35.46927988940734,646,62,123
1605,325,325.0,1.0,1.0,635.0,424.0,0.07,1.0,1.0,600.0,0.97,1.0,30.62512447964364,646,6,123
3213,641,641.0,1.0,1.0,1258.0,424.0,0.07,1.0,1.0,400.0,0.99,1.0,29.276503059499717,642,14,124
14,1,1.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,400.0,0.99,1.0,34.75355394088567,642,15,124
823,161,161.0,1.0,1.0,317.0,424.0,0.07,1.0,1.0,400.0,0.99,1.0,32.67775521532424,642,24,124
2434,481,481.0,1.0,1.0,953.0,424.0,0.07,1.0,1.0,400.0,0.99,1.0,29.549890137501,642,35,124
1635,321,321.0,1.0,1.0,635.0,424.0,0.07,1.0,1.0,400.0,0.99,1.0,31.412666442301763,642,36,124
69,0,0.0,1.0,1.0,127.0,424.0,0.07,1.0,1.0,400.0,0.97,1.0,35.51961722359332,641,70,127
