,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
10,26,26.0,1.0,1.0,142.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,2.453728727108897,507,11,111
2414,506,506.0,1.0,1.0,1068.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,2.1759940933488995,507,15,111
3233,666,666.0,1.0,1.0,1410.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,2.168761432273527,507,34,111
833,186,186.0,1.0,1.0,356.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,2.2477572324071784,507,34,111
1616,346,346.0,1.0,1.0,712.0,475.0,0.03,1.0,3.0,600.0,0.99,1.0,2.1861097364088717,507,17,111
2422,483,483.0,1.0,1.0,1068.0,475.0,0.07,1.0,1.0,400.0,0.995,1.0,2.178532930688972,644,23,137
809,163,163.0,1.0,1.0,356.0,475.0,0.07,1.0,1.0,400.0,0.995,1.0,2.2094291859856643,644,10,137
3216,643,643.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,400.0,0.995,1.0,2.1653702071224377,644,17,137
1613,323,323.0,1.0,1.0,712.0,475.0,0.07,1.0,1.0,400.0,0.995,1.0,2.1846005577354157,644,14,137
72,3,3.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,400.0,0.995,1.0,2.53464382975444,644,73,137
816,161,161.0,1.0,1.0,356.0,475.0,0.07,1.0,1.0,400.0,0.99,1.0,2.2191186482625493,642,17,141
2409,481,481.0,1.0,1.0,1068.0,475.0,0.07,1.0,1.0,400.0,0.99,1.0,2.17443225355179,642,10,141
1608,321,321.0,1.0,1.0,712.0,475.0,0.07,1.0,1.0,400.0,0.99,1.0,2.182577829421428,642,9,141
95,1,1.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,400.0,0.99,1.0,2.5577023833510304,642,96,141
3208,641,641.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,400.0,0.99,1.0,2.1623934053896825,642,9,141
92,2,2.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,400.0,0.993,1.0,2.555265446243556,643,93,143
812,162,162.0,1.0,1.0,356.0,475.0,0.07,1.0,1.0,400.0,0.993,1.0,2.216695795661555,643,13,143
1604,322,322.0,1.0,1.0,712.0,475.0,0.07,1.0,1.0,400.0,0.993,1.0,2.179661521890452,643,5,143
3211,642,642.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,400.0,0.993,1.0,2.1639218059350283,643,12,143
2419,482,482.0,1.0,1.0,1068.0,475.0,0.07,1.0,1.0,400.0,0.993,1.0,2.1783155324016388,643,20,143
2436,487,487.0,1.0,1.0,1068.0,475.0,0.03,1.0,1.0,600.0,0.993,1.0,2.182938221345295,488,37,148
804,167,167.0,1.0,1.0,356.0,475.0,0.03,1.0,1.0,600.0,0.993,1.0,2.1984253825822537,488,5,148
3243,647,647.0,1.0,1.0,1410.0,475.0,0.03,1.0,1.0,600.0,0.993,1.0,2.170958657155018,488,44,148
1603,327,327.0,1.0,1.0,712.0,475.0,0.03,1.0,1.0,600.0,0.993,1.0,2.179627904852416,488,4,148
57,7,7.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,600.0,0.993,1.0,2.522951889517268,488,58,148
2440,497,497.0,1.0,1.0,1068.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,2.184089399361101,498,41,175
1621,337,337.0,1.0,1.0,712.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,2.18865434618368,498,22,175
4,17,17.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,2.4351095845317685,498,5,175
3288,657,657.0,1.0,1.0,1410.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,2.1786908025059115,498,89,175
817,177,177.0,1.0,1.0,356.0,475.0,0.03,1.0,2.0,600.0,0.993,1.0,2.219628549902558,498,18,175
74,6,6.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,600.0,0.99,1.0,2.535432337646087,487,75,185
811,166,166.0,1.0,1.0,356.0,475.0,0.03,1.0,1.0,600.0,0.99,1.0,2.215286754709113,487,12,185
1606,326,326.0,1.0,1.0,712.0,475.0,0.03,1.0,1.0,600.0,0.99,1.0,2.1818879405957468,487,7,185
2444,486,486.0,1.0,1.0,1068.0,475.0,0.03,1.0,1.0,600.0,0.99,1.0,2.1849176297658737,487,45,185
3245,646,646.0,1.0,1.0,1410.0,475.0,0.03,1.0,1.0,600.0,0.99,1.0,2.171530161487942,487,46,185
835,170,170.0,1.0,1.0,356.0,475.0,0.07,1.0,2.0,400.0,0.97,1.0,2.2487084410875084,651,36,189
1650,330,330.0,1.0,1.0,712.0,475.0,0.07,1.0,2.0,400.0,0.97,1.0,2.1982802842962665,651,51,189
2416,490,490.0,1.0,1.0,1068.0,475.0,0.07,1.0,2.0,400.0,0.97,1.0,2.177275543208152,651,17,189
3222,650,650.0,1.0,1.0,1410.0,475.0,0.07,1.0,2.0,400.0,0.97,1.0,2.1665212510064995,651,23,189
61,10,10.0,1.0,1.0,142.0,475.0,0.07,1.0,2.0,400.0,0.97,1.0,2.525881281735523,651,62,189
81,9,9.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,600.0,0.997,1.0,2.541861645698269,650,82,196
821,169,169.0,1.0,1.0,356.0,475.0,0.07,1.0,1.0,600.0,0.997,1.0,2.225657388749479,650,22,196
2446,489,489.0,1.0,1.0,1068.0,475.0,0.07,1.0,1.0,600.0,0.997,1.0,2.185055459301008,650,47,196
3218,649,649.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,600.0,0.997,1.0,2.165870669275856,650,19,196
1625,329,329.0,1.0,1.0,712.0,475.0,0.07,1.0,1.0,600.0,0.997,1.0,2.191446143379397,650,26,196
803,168,168.0,1.0,1.0,356.0,475.0,0.03,1.0,1.0,600.0,0.995,1.0,2.1914781271870667,489,4,206
3282,648,648.0,1.0,1.0,1410.0,475.0,0.03,1.0,1.0,600.0,0.995,1.0,2.1780134240000857,489,83,206
2443,488,488.0,1.0,1.0,1068.0,475.0,0.03,1.0,1.0,600.0,0.995,1.0,2.18457890380236,489,44,206
1624,328,328.0,1.0,1.0,712.0,475.0,0.03,1.0,1.0,600.0,0.995,1.0,2.190500390250136,489,25,206
49,8,8.0,1.0,1.0,142.0,475.0,0.03,1.0,1.0,600.0,0.995,1.0,2.513490901258379,489,50,206
1629,336,336.0,1.0,1.0,712.0,475.0,0.03,1.0,2.0,600.0,0.99,1.0,2.191711911108173,497,30,208
8,16,16.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.99,1.0,2.443706838902929,497,9,208
818,176,176.0,1.0,1.0,356.0,475.0,0.03,1.0,2.0,600.0,0.99,1.0,2.224448112573717,497,19,208
2439,496,496.0,1.0,1.0,1068.0,475.0,0.03,1.0,2.0,600.0,0.99,1.0,2.183801495488536,497,40,208
3309,656,656.0,1.0,1.0,1410.0,475.0,0.03,1.0,2.0,600.0,0.99,1.0,2.1817255402132454,497,110,208
1639,340,340.0,1.0,1.0,712.0,475.0,0.07,1.0,3.0,400.0,0.97,1.0,2.194546574017356,661,40,224
880,180,180.0,1.0,1.0,356.0,475.0,0.07,1.0,3.0,400.0,0.97,1.0,2.2790105635922155,661,81,224
63,20,20.0,1.0,1.0,142.0,475.0,0.07,1.0,3.0,400.0,0.97,1.0,2.527018428777429,661,64,224
2403,500,500.0,1.0,1.0,1068.0,475.0,0.07,1.0,3.0,400.0,0.97,1.0,2.171021622894614,661,4,224
3234,660,660.0,1.0,1.0,1410.0,475.0,0.07,1.0,3.0,400.0,0.97,1.0,2.168849061079171,661,35,224
2467,498,498.0,1.0,1.0,1068.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,2.18844687688634,499,68,226
814,178,178.0,1.0,1.0,356.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,2.217874181554297,499,15,226
3301,658,658.0,1.0,1.0,1410.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,2.180076319648739,499,102,226
22,18,18.0,1.0,1.0,142.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,2.479643673499405,499,23,226
1617,338,338.0,1.0,1.0,712.0,475.0,0.03,1.0,2.0,600.0,0.995,1.0,2.186602646062421,499,18,226
3203,648,648.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,600.0,0.995,1.0,2.155508195527705,649,4,234
153,8,8.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,600.0,0.995,1.0,2.591764482857026,649,154,234
2427,480,480.0,1.0,1.0,1068.0,475.0,0.07,1.0,1.0,400.0,0.97,1.0,2.180858053580246,641,28,234
142,0,0.0,1.0,1.0,142.0,475.0,0.07,1.0,1.0,400.0,0.97,1.0,2.585814965251965,641,143,234
822,168,168.0,1.0,1.0,356.0,475.0,0.07,1.0,1.0,600.0,0.995,1.0,2.232490378947781,649,23,234
3213,640,640.0,1.0,1.0,1410.0,475.0,0.07,1.0,1.0,400.0,0.97,1.0,2.164575143190929,641,14,234
832,160,160.0,1.0,1.0,356.0,475.0,0.07,1.0,1.0,400.0,0.97,1.0,2.247635616746916,641,33,234
1634,328,328.0,1.0,1.0,712.0,475.0,0.07,1.0,1.0,600.0,0.995,1.0,2.193365497241335,649,35,234
1615,320,320.0,1.0,1.0,712.0,475.0,0.07,1.0,1.0,400.0,0.97,1.0,2.184702751615072,641,16,234
2417,488,488.0,1.0,1.0,1068.0,475.0,0.07,1.0,1.0,600.0,0.995,1.0,2.177792026438954,649,18,234
1631,327,327.0,1.0,1.0,712.0,475.0,0.07,1.0,1.0,600.0,0.993,1.0,2.1927539689691877,648,32,251
