,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
342,26,26.0,1.0,1.0,127.0,424.0,0.07,1.0,3.0,600.0,0.99,1.0,4.267004468569301,667,343,415
3221,26,26.0,1.0,1.0,1258.0,424.0,0.07,1.0,3.0,600.0,0.99,1.0,3.649973950893761,667,22,415
37,154,154.0,1.0,1.0,127.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,4.047165492074933,635,38,421
3255,154,154.0,1.0,1.0,1258.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,3.666338807101459,635,56,421
2453,634,634.0,1.0,1.0,953.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,3.680136560295327,635,54,421
1621,474,474.0,1.0,1.0,635.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,3.70467152035845,635,22,421
1050,314,314.0,1.0,1.0,317.0,424.0,0.03,4.0,4.0,400.0,0.997,1.0,3.9030797655827096,635,251,421
3328,158,158.0,1.0,1.0,1258.0,424.0,0.01,4.0,4.0,600.0,0.995,1.0,3.6838316620577687,479,129,428
1607,478,478.0,1.0,1.0,635.0,424.0,0.01,4.0,4.0,600.0,0.995,1.0,3.6918853199528288,479,8,428
845,318,318.0,1.0,1.0,317.0,424.0,0.01,4.0,4.0,600.0,0.995,1.0,3.835180672447824,479,46,428
112,158,158.0,1.0,1.0,127.0,424.0,0.01,4.0,4.0,600.0,0.995,1.0,4.099085855769849,479,113,428
2531,638,638.0,1.0,1.0,953.0,424.0,0.01,4.0,4.0,600.0,0.995,1.0,3.701213119609948,479,132,428
807,309,309.0,1.0,1.0,317.0,424.0,0.01,4.0,3.0,600.0,0.997,1.0,3.800053974693186,470,8,429
2606,629,629.0,1.0,1.0,953.0,424.0,0.01,4.0,3.0,600.0,0.997,1.0,3.720655648914468,470,207,429
3,149,149.0,1.0,1.0,127.0,424.0,0.01,4.0,3.0,600.0,0.997,1.0,3.960651743064957,470,4,429
3392,149,149.0,1.0,1.0,1258.0,424.0,0.01,4.0,3.0,600.0,0.997,1.0,3.6980218390712896,470,193,429
1616,469,469.0,1.0,1.0,635.0,424.0,0.01,4.0,3.0,600.0,0.997,1.0,3.700721949937343,470,17,429
3321,30,30.0,1.0,1.0,1258.0,424.0,0.07,1.0,4.0,400.0,0.97,1.0,3.682767549292054,671,122,442
126,30,30.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,400.0,0.97,1.0,4.104772207954542,671,127,442
2504,510,510.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,400.0,0.97,1.0,3.6935727840465695,671,105,442
1657,350,350.0,1.0,1.0,635.0,424.0,0.07,1.0,4.0,400.0,0.97,1.0,3.722192798997828,671,58,442
829,190,190.0,1.0,1.0,317.0,424.0,0.07,1.0,4.0,400.0,0.97,1.0,3.823847568527643,671,30,442
3217,68,68.0,1.0,1.0,1258.0,424.0,0.03,2.0,3.0,600.0,0.995,1.0,3.648291203747864,549,18,444
1604,388,388.0,1.0,1.0,635.0,424.0,0.03,2.0,3.0,600.0,0.995,1.0,3.689299028550935,549,5,444
2489,548,548.0,1.0,1.0,953.0,424.0,0.03,2.0,3.0,600.0,0.995,1.0,3.689735910184465,549,90,444
843,228,228.0,1.0,1.0,317.0,424.0,0.03,2.0,3.0,600.0,0.995,1.0,3.833514413807807,549,44,444
286,68,68.0,1.0,1.0,127.0,424.0,0.03,2.0,3.0,600.0,0.995,1.0,4.22300440144736,549,287,444
88,33,33.0,1.0,1.0,127.0,424.0,0.07,1.0,4.0,400.0,0.995,1.0,4.081495819601638,674,89,451
907,193,193.0,1.0,1.0,317.0,424.0,0.07,1.0,4.0,400.0,0.995,1.0,3.8622189910380818,674,108,451
3306,33,33.0,1.0,1.0,1258.0,424.0,0.07,1.0,4.0,400.0,0.995,1.0,3.679729546961417,674,107,451
2484,513,513.0,1.0,1.0,953.0,424.0,0.07,1.0,4.0,400.0,0.995,1.0,3.6888607712840025,674,85,451
1661,353,353.0,1.0,1.0,635.0,424.0,0.07,1.0,4.0,400.0,0.995,1.0,3.723130484220031,674,62,451
1699,462,462.0,1.0,1.0,635.0,424.0,0.03,4.0,3.0,400.0,0.993,1.0,3.733035074726593,623,100,452
2449,622,622.0,1.0,1.0,953.0,424.0,0.03,4.0,3.0,400.0,0.993,1.0,3.677977056706785,623,50,452
3323,142,142.0,1.0,1.0,1258.0,424.0,0.03,4.0,3.0,400.0,0.993,1.0,3.6830524926924175,623,124,452
833,302,302.0,1.0,1.0,317.0,424.0,0.03,4.0,3.0,400.0,0.993,1.0,3.828462509032677,623,34,452
143,142,142.0,1.0,1.0,127.0,424.0,0.03,4.0,3.0,400.0,0.993,1.0,4.115819509103088,623,144,452
853,303,303.0,1.0,1.0,317.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,3.841390264080213,624,54,454
1665,463,463.0,1.0,1.0,635.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,3.724878231150512,624,66,454
2463,623,623.0,1.0,1.0,953.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,3.6831387879843263,624,64,454
3298,143,143.0,1.0,1.0,1258.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,3.6777760688265486,624,99,454
170,143,143.0,1.0,1.0,127.0,424.0,0.03,4.0,3.0,400.0,0.995,1.0,4.130457199503295,624,171,454
2439,633,633.0,1.0,1.0,953.0,424.0,0.03,4.0,4.0,400.0,0.995,1.0,3.674006291686492,634,40,475
1052,313,313.0,1.0,1.0,317.0,424.0,0.03,4.0,4.0,400.0,0.995,1.0,3.903919787228488,634,253,475
1613,473,473.0,1.0,1.0,635.0,424.0,0.03,4.0,4.0,400.0,0.995,1.0,3.697701241384188,634,14,475
3277,153,153.0,1.0,1.0,1258.0,424.0,0.03,4.0,4.0,400.0,0.995,1.0,3.671645892122845,634,78,475
89,153,153.0,1.0,1.0,127.0,424.0,0.03,4.0,4.0,400.0,0.995,1.0,4.081624012039365,634,90,475
1624,477,477.0,1.0,1.0,635.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,3.707370394652767,478,25,491
3314,157,157.0,1.0,1.0,1258.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,3.68174897415852,478,115,491
91,157,157.0,1.0,1.0,127.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,4.0831850281135695,478,92,491
2514,637,637.0,1.0,1.0,953.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,3.695954607766606,478,115,491
943,317,317.0,1.0,1.0,317.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,3.8747662426435303,478,144,491
2494,501,501.0,1.0,1.0,953.0,424.0,0.07,1.0,3.0,400.0,0.99,1.0,3.6913013091729914,662,95,492
