,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
218,258.0,1.0,1.0,317.0,424.0,0.007,5.0,600.0,1.3607161003873385,67,27,192
251,304.0,1.0,1.0,317.0,424.0,0.03,5.0,200.0,1.3801959006225988,113,60,195
592,688.0,1.0,1.0,953.0,424.0,0.03,5.0,200.0,1.253814612639599,113,17,195
400,496.0,1.0,1.0,635.0,424.0,0.03,5.0,200.0,1.2908105079880738,113,17,195
65,112.0,1.0,1.0,127.0,424.0,0.03,5.0,200.0,1.8450751853662868,113,66,195
802,880.0,1.0,1.0,1258.0,424.0,0.03,5.0,200.0,1.2298438513719336,113,35,195
60,67.0,1.0,1.0,127.0,424.0,0.007,5.0,800.0,1.843888749410876,68,61,196
396,451.0,1.0,1.0,635.0,424.0,0.007,5.0,800.0,1.2883367622915878,68,13,196
599,643.0,1.0,1.0,953.0,424.0,0.007,5.0,800.0,1.2554807760688294,68,24,196
815,835.0,1.0,1.0,1258.0,424.0,0.007,5.0,800.0,1.233540570028253,68,48,196
241,259.0,1.0,1.0,317.0,424.0,0.007,5.0,800.0,1.3756563242175202,68,50,196
598,666.0,1.0,1.0,953.0,424.0,0.01,5.0,600.0,1.2553764198824588,91,23,209
68,90.0,1.0,1.0,127.0,424.0,0.01,5.0,600.0,1.845475396896251,91,69,209
818,858.0,1.0,1.0,1258.0,424.0,0.01,5.0,600.0,1.2336988289904016,91,51,209
246,282.0,1.0,1.0,317.0,424.0,0.01,5.0,600.0,1.3783638310043365,91,55,209
394,474.0,1.0,1.0,635.0,424.0,0.01,5.0,600.0,1.287859533856316,91,11,209
231,251.0,1.0,1.0,317.0,424.0,0.007,3.0,800.0,1.3693246107567243,60,40,216
823,827.0,1.0,1.0,1258.0,424.0,0.007,3.0,800.0,1.2348077293618829,60,56,216
59,59.0,1.0,1.0,127.0,424.0,0.007,3.0,800.0,1.8432592706911977,60,60,216
403,443.0,1.0,1.0,635.0,424.0,0.007,3.0,800.0,1.2912665125719625,60,20,216
615,635.0,1.0,1.0,953.0,424.0,0.007,3.0,800.0,1.2584074622581354,60,40,216
848,847.0,1.0,1.0,1258.0,424.0,0.01,2.0,800.0,1.2429201755996933,80,81,218
428,463.0,1.0,1.0,635.0,424.0,0.01,2.0,800.0,1.2978588472866128,80,45,218
