,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
768,939.0,1.0,1.0,1258.0,424.0,0.1,1.0,800.0,3.6740074890315353,172,1,182
576,747.0,1.0,1.0,953.0,424.0,0.1,1.0,800.0,3.681270680778834,172,1,182
384,555.0,1.0,1.0,635.0,424.0,0.1,1.0,800.0,3.7348576838665375,172,1,182
230,363.0,1.0,1.0,317.0,424.0,0.1,1.0,800.0,3.914078825537263,172,39,182
139,171.0,1.0,1.0,127.0,424.0,0.1,1.0,800.0,4.756413827201865,172,140,182
397,449.0,1.0,1.0,635.0,424.0,0.007,5.0,400.0,3.7618510783072048,66,14,186
646,641.0,1.0,1.0,953.0,424.0,0.007,5.0,400.0,3.7589638588019234,66,71,186
830,833.0,1.0,1.0,1258.0,424.0,0.007,5.0,400.0,3.7456577265941977,66,63,186
210,257.0,1.0,1.0,317.0,424.0,0.007,5.0,400.0,3.904413886050846,66,19,186
18,65.0,1.0,1.0,127.0,424.0,0.007,5.0,400.0,4.304163832170551,66,19,186
807,891.0,1.0,1.0,1258.0,424.0,0.05,1.0,800.0,3.728133654631717,124,40,189
108,123.0,1.0,1.0,127.0,424.0,0.05,1.0,800.0,4.547796741129795,124,109,189
593,699.0,1.0,1.0,953.0,424.0,0.05,1.0,800.0,3.726954045732124,124,18,189
399,507.0,1.0,1.0,635.0,424.0,0.05,1.0,800.0,3.7640771555236494,124,16,189
197,315.0,1.0,1.0,317.0,424.0,0.05,1.0,800.0,3.89917247003468,124,6,189
72,116.0,1.0,1.0,127.0,424.0,0.03,6.0,200.0,4.420609667916155,117,73,191
832,884.0,1.0,1.0,1258.0,424.0,0.03,6.0,200.0,3.747017159303869,117,65,191
194,308.0,1.0,1.0,317.0,424.0,0.03,6.0,200.0,3.896557054337767,117,3,191
606,692.0,1.0,1.0,953.0,424.0,0.03,6.0,200.0,3.734786152023478,117,31,191
402,500.0,1.0,1.0,635.0,424.0,0.03,6.0,200.0,3.766417178848753,117,19,191
396,445.0,1.0,1.0,635.0,424.0,0.007,4.0,400.0,3.7590795038443705,62,13,193
209,253.0,1.0,1.0,317.0,424.0,0.007,4.0,400.0,3.904169407377535,62,18,193
17,61.0,1.0,1.0,127.0,424.0,0.007,4.0,400.0,4.3038841973615405,62,18,193
845,829.0,1.0,1.0,1258.0,424.0,0.007,4.0,400.0,3.755397665008398,62,78,193
641,637.0,1.0,1.0,953.0,424.0,0.007,4.0,400.0,3.755475259970476,62,66,193
26,38.0,1.0,1.0,127.0,424.0,0.005,4.0,600.0,4.32558649591521,39,27,194
222,230.0,1.0,1.0,317.0,424.0,0.005,4.0,600.0,3.9110047821114136,39,31,194
390,422.0,1.0,1.0,635.0,424.0,0.005,4.0,600.0,3.7491965113637127,39,7,194
632,614.0,1.0,1.0,953.0,424.0,0.005,4.0,600.0,3.749246386397501,39,57,194
839,806.0,1.0,1.0,1258.0,424.0,0.005,4.0,600.0,3.749760317093924,39,72,194
407,469.0,1.0,1.0,635.0,424.0,0.01,4.0,400.0,3.770627628691237,86,24,196
823,853.0,1.0,1.0,1258.0,424.0,0.01,4.0,400.0,3.739426535769317,86,56,196
46,85.0,1.0,1.0,127.0,424.0,0.01,4.0,400.0,4.387525427105492,86,47,196
601,661.0,1.0,1.0,953.0,424.0,0.01,4.0,400.0,3.732421969747136,86,26,196
234,277.0,1.0,1.0,317.0,424.0,0.01,4.0,400.0,3.914725325298813,86,43,196
75,63.0,1.0,1.0,127.0,424.0,0.007,4.0,800.0,4.421254772476112,64,76,201
808,831.0,1.0,1.0,1258.0,424.0,0.007,4.0,800.0,3.728335875965453,64,41,201
231,255.0,1.0,1.0,317.0,424.0,0.007,4.0,800.0,3.914209108330712,64,40,201
417,447.0,1.0,1.0,635.0,424.0,0.007,4.0,800.0,3.7785010333954254,64,34,201
585,639.0,1.0,1.0,953.0,424.0,0.007,4.0,800.0,3.7235767288172448,64,10,201
828,834.0,1.0,1.0,1258.0,424.0,0.007,5.0,600.0,3.7416256293025736,67,61,203
620,642.0,1.0,1.0,953.0,424.0,0.007,5.0,600.0,3.7390287471284185,67,45,203
218,258.0,1.0,1.0,317.0,424.0,0.007,5.0,600.0,3.909910462193136,67,27,203
52,66.0,1.0,1.0,127.0,424.0,0.007,5.0,600.0,4.38913356674862,67,53,203
400,450.0,1.0,1.0,635.0,424.0,0.007,5.0,600.0,3.764980977331836,67,17,203
819,807.0,1.0,1.0,1258.0,424.0,0.005,4.0,800.0,3.73762363466488,40,52,204
608,615.0,1.0,1.0,953.0,424.0,0.005,4.0,800.0,3.735358577723912,40,33,204
243,231.0,1.0,1.0,317.0,424.0,0.005,4.0,800.0,3.9198400574359646,40,52,204
41,39.0,1.0,1.0,127.0,424.0,0.005,4.0,800.0,4.386800886732999,40,42,204
408,423.0,1.0,1.0,635.0,424.0,0.005,4.0,800.0,3.77077229361191,40,25,204
424,496.0,1.0,1.0,635.0,424.0,0.03,5.0,200.0,3.7825764622892426,113,41,207
202,304.0,1.0,1.0,317.0,424.0,0.03,5.0,200.0,3.9010656777538255,113,11,207
580,688.0,1.0,1.0,953.0,424.0,0.03,5.0,200.0,3.717574901157725,113,5,207
78,112.0,1.0,1.0,127.0,424.0,0.03,5.0,200.0,4.421981592220896,113,79,207
838,880.0,1.0,1.0,1258.0,424.0,0.03,5.0,200.0,3.749609492288971,113,71,207
239,278.0,1.0,1.0,317.0,424.0,0.01,4.0,600.0,3.9178542842142536,87,48,209
81,86.0,1.0,1.0,127.0,424.0,0.01,4.0,600.0,4.433061588124275,87,82,209
418,470.0,1.0,1.0,635.0,424.0,0.01,4.0,600.0,3.778683525323583,87,35,209
804,854.0,1.0,1.0,1258.0,424.0,0.01,4.0,600.0,3.726077972596801,87,37,209
582,662.0,1.0,1.0,953.0,424.0,0.01,4.0,600.0,3.717955164034626,87,7,209
591,670.0,1.0,1.0,953.0,424.0,0.01,6.0,600.0,3.726309414270845,95,16,211
813,862.0,1.0,1.0,1258.0,424.0,0.01,6.0,600.0,3.734096033165879,95,46,211
232,286.0,1.0,1.0,317.0,424.0,0.01,6.0,600.0,3.9144075755501246,95,41,211
94,87.0,1.0,1.0,127.0,424.0,0.01,4.0,800.0,4.468574239275559,88,95,211
414,471.0,1.0,1.0,635.0,424.0,0.01,4.0,800.0,3.776752150834685,88,31,211
799,855.0,1.0,1.0,1258.0,424.0,0.01,4.0,800.0,3.7227361570330495,88,32,211
238,279.0,1.0,1.0,317.0,424.0,0.01,4.0,800.0,3.917724426124387,88,47,211
581,663.0,1.0,1.0,953.0,424.0,0.01,4.0,800.0,3.717580602488241,88,6,211
84,94.0,1.0,1.0,127.0,424.0,0.01,6.0,600.0,4.434064354598183,95,85,211
406,478.0,1.0,1.0,635.0,424.0,0.01,6.0,600.0,3.7681453470801904,95,23,211
413,474.0,1.0,1.0,635.0,424.0,0.01,5.0,600.0,3.776234326192364,91,30,212
82,90.0,1.0,1.0,127.0,424.0,0.01,5.0,600.0,4.43307445613313,91,83,212
200,282.0,1.0,1.0,317.0,424.0,0.01,5.0,600.0,3.8998134957943256,91,9,212
840,858.0,1.0,1.0,1258.0,424.0,0.01,5.0,600.0,3.7501253331193456,91,73,212
592,666.0,1.0,1.0,953.0,424.0,0.01,5.0,600.0,3.726475126092701,91,17,212
49,62.0,1.0,1.0,127.0,424.0,0.007,4.0,600.0,4.3885632777492445,63,50,213
614,638.0,1.0,1.0,953.0,424.0,0.007,4.0,600.0,3.736651295515284,63,39,213
419,446.0,1.0,1.0,635.0,424.0,0.007,4.0,600.0,3.779709391455634,63,36,213
224,254.0,1.0,1.0,317.0,424.0,0.007,4.0,600.0,3.9127679795370103,63,33,213
822,830.0,1.0,1.0,1258.0,424.0,0.007,4.0,600.0,3.739077286098177,63,55,213
410,455.0,1.0,1.0,635.0,424.0,0.007,6.0,800.0,3.7731582571897206,72,27,222
836,839.0,1.0,1.0,1258.0,424.0,0.007,6.0,800.0,3.74857750498068,72,69,222
70,71.0,1.0,1.0,127.0,424.0,0.007,6.0,800.0,4.420270377877993,72,71,222
605,647.0,1.0,1.0,953.0,424.0,0.007,6.0,800.0,3.733411209662132,72,30,222
216,263.0,1.0,1.0,317.0,424.0,0.007,6.0,800.0,3.908815600684003,72,25,222
415,493.0,1.0,1.0,635.0,424.0,0.03,4.0,400.0,3.777836208825682,110,32,233
113,109.0,1.0,1.0,127.0,424.0,0.03,4.0,400.0,4.563987376878126,110,114,233
791,877.0,1.0,1.0,1258.0,424.0,0.03,4.0,400.0,3.715077746164513,110,24,233
246,301.0,1.0,1.0,317.0,424.0,0.03,4.0,400.0,3.921822699527348,110,55,233
583,685.0,1.0,1.0,953.0,424.0,0.03,4.0,400.0,3.718036668343527,110,8,233
837,835.0,1.0,1.0,1258.0,424.0,0.007,5.0,800.0,3.749406587960812,68,70,237
71,67.0,1.0,1.0,127.0,424.0,0.007,5.0,800.0,4.420574000039198,68,72,237
207,259.0,1.0,1.0,317.0,424.0,0.007,5.0,800.0,3.9039152622459374,68,16,237
616,643.0,1.0,1.0,953.0,424.0,0.007,5.0,800.0,3.73742581315095,68,41,237
421,451.0,1.0,1.0,635.0,424.0,0.007,5.0,800.0,3.780192674988238,68,38,237
677,599.0,1.0,1.0,953.0,424.0,0.003,6.0,800.0,3.789803787899,24,102,261
223,215.0,1.0,1.0,317.0,424.0,0.003,6.0,800.0,3.912626875148024,24,32,261
409,407.0,1.0,1.0,635.0,424.0,0.003,6.0,800.0,3.7722685915861818,24,26,261
854,791.0,1.0,1.0,1258.0,424.0,0.003,6.0,800.0,3.7590648266486326,24,87,261
13,23.0,1.0,1.0,127.0,424.0,0.003,6.0,800.0,4.278195426252511,24,14,261
257,317.0,1.0,1.0,317.0,424.0,0.05,2.0,400.0,3.934024098980178,126,66,268
123,125.0,1.0,1.0,127.0,424.0,0.05,2.0,400.0,4.655272391188723,126,124,268
782,893.0,1.0,1.0,1258.0,424.0,0.05,2.0,400.0,3.7074362200722986,126,15,268
411,509.0,1.0,1.0,635.0,424.0,0.05,2.0,400.0,3.774305700013274,126,28,268
610,701.0,1.0,1.0,953.0,424.0,0.05,2.0,400.0,3.735925711563386,126,35,268
106,132.0,1.0,1.0,127.0,424.0,0.05,4.0,200.0,4.520947107822289,133,107,277
787,900.0,1.0,1.0,1258.0,424.0,0.05,4.0,200.0,3.7111574383051855,133,20,277
