,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
775,849.0,1.0,1.0,1410.0,475.0,0.01,3.0,400.0,5.704472165846188,82,8,67
388,465.0,1.0,1.0,712.0,475.0,0.01,3.0,400.0,5.903545677785668,82,5,67
583,657.0,1.0,1.0,1068.0,475.0,0.01,3.0,400.0,5.787923508478451,82,8,67
210,273.0,1.0,1.0,356.0,475.0,0.01,3.0,400.0,6.223164415947275,82,19,67
26,81.0,1.0,1.0,142.0,475.0,0.01,3.0,400.0,6.670818505205632,82,27,67
584,611.0,1.0,1.0,1068.0,475.0,0.005,3.0,800.0,5.788217407750106,36,9,84
393,419.0,1.0,1.0,712.0,475.0,0.005,3.0,800.0,5.909566806965776,36,10,84
778,803.0,1.0,1.0,1410.0,475.0,0.005,3.0,800.0,5.708393449622012,36,11,84
219,227.0,1.0,1.0,356.0,475.0,0.005,3.0,800.0,6.234888614429133,36,28,84
25,35.0,1.0,1.0,142.0,475.0,0.005,3.0,800.0,6.666608745631407,36,26,84
34,58.0,1.0,1.0,142.0,475.0,0.007,3.0,600.0,6.677726537899791,59,35,97
228,250.0,1.0,1.0,356.0,475.0,0.007,3.0,600.0,6.251495581274513,59,37,97
582,634.0,1.0,1.0,1068.0,475.0,0.007,3.0,600.0,5.785554139407706,59,7,97
395,442.0,1.0,1.0,712.0,475.0,0.007,3.0,600.0,5.910382277038321,59,12,97
773,826.0,1.0,1.0,1410.0,475.0,0.007,3.0,600.0,5.69980749842493,59,6,97
410,462.0,1.0,1.0,712.0,475.0,0.01,2.0,600.0,5.942718372769414,79,27,125
576,654.0,1.0,1.0,1068.0,475.0,0.01,2.0,600.0,5.770886936948982,79,1,125
577,631.0,1.0,1.0,1068.0,475.0,0.007,2.0,800.0,5.773931267844239,56,2,125
409,439.0,1.0,1.0,712.0,475.0,0.007,2.0,800.0,5.941702047104817,56,26,125
776,846.0,1.0,1.0,1410.0,475.0,0.01,2.0,600.0,5.707043375219924,79,9,125
28,78.0,1.0,1.0,142.0,475.0,0.01,2.0,600.0,6.673769456108535,79,29,125
250,270.0,1.0,1.0,356.0,475.0,0.01,2.0,600.0,6.305177736685212,79,59,125
24,55.0,1.0,1.0,142.0,475.0,0.007,2.0,800.0,6.654330006989973,56,25,125
247,247.0,1.0,1.0,356.0,475.0,0.007,2.0,800.0,6.300829760658369,56,56,125
783,823.0,1.0,1.0,1410.0,475.0,0.007,2.0,800.0,5.717108710621865,56,16,125
407,484.0,1.0,1.0,712.0,475.0,0.03,2.0,200.0,5.939926102571304,101,24,130
777,868.0,1.0,1.0,1410.0,475.0,0.03,2.0,200.0,5.707620307021067,101,10,130
578,676.0,1.0,1.0,1068.0,475.0,0.03,2.0,200.0,5.776244412111448,101,3,130
252,292.0,1.0,1.0,356.0,475.0,0.03,2.0,200.0,6.307377227857373,101,61,130
31,100.0,1.0,1.0,142.0,475.0,0.03,2.0,200.0,6.675291540164973,101,32,130
599,630.0,1.0,1.0,1068.0,475.0,0.007,2.0,600.0,5.803935092247921,55,24,137
412,438.0,1.0,1.0,712.0,475.0,0.007,2.0,600.0,5.948275158979702,55,29,137
