,Unnamed: 0,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse,setting_id,rank,total_rank
184,53,53.0,1.0,1.0,127.0,424.0,0.03,2.0,2.0,400.0,0.995,1.0,1.4884357273015536,534,185,397
802,213,213.0,1.0,1.0,317.0,424.0,0.03,2.0,2.0,400.0,0.995,1.0,1.2843215322071355,534,3,397
3378,693,693.0,1.0,1.0,1258.0,424.0,0.03,2.0,2.0,400.0,0.995,1.0,1.2205690064160664,534,179,397
2501,637,637.0,1.0,1.0,953.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,1.2295910523243034,478,102,404
874,317,317.0,1.0,1.0,317.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,1.3244607265909414,478,75,404
3294,797,797.0,1.0,1.0,1258.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,1.2125941788890464,478,95,404
1604,477,477.0,1.0,1.0,635.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,1.2640648658276643,478,5,404
126,157,157.0,1.0,1.0,127.0,424.0,0.01,4.0,4.0,600.0,0.993,1.0,1.4629382976559413,478,127,404
3358,798,798.0,1.0,1.0,1258.0,424.0,0.01,4.0,4.0,600.0,0.995,1.0,1.217906448348706,479,159,417
33,148,148.0,1.0,1.0,127.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,1.4250120196378258,469,34,417
3326,788,788.0,1.0,1.0,1258.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,1.215461700403551,469,127,417
1608,468,468.0,1.0,1.0,635.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,1.2648805873885776,469,9,417
892,308,308.0,1.0,1.0,317.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,1.3283629888293094,469,93,417
883,318,318.0,1.0,1.0,317.0,424.0,0.01,4.0,4.0,600.0,0.995,1.0,1.326699953001852,479,84,417
1618,478,478.0,1.0,1.0,635.0,424.0,0.01,4.0,4.0,600.0,0.995,1.0,1.267685754493908,479,19,417
2502,638,638.0,1.0,1.0,953.0,424.0,0.01,4.0,4.0,600.0,0.995,1.0,1.2296426843572046,479,103,417
2553,628,628.0,1.0,1.0,953.0,424.0,0.01,4.0,3.0,600.0,0.995,1.0,1.2357618175107414,469,154,417
51,158,158.0,1.0,1.0,127.0,424.0,0.01,4.0,4.0,600.0,0.995,1.0,1.4331620227538675,479,52,417
2481,622,622.0,1.0,1.0,953.0,424.0,0.03,4.0,3.0,400.0,0.993,1.0,1.2268516864257255,623,82,420
1660,462,462.0,1.0,1.0,635.0,424.0,0.03,4.0,3.0,400.0,0.993,1.0,1.2746039754774263,623,61,420
879,302,302.0,1.0,1.0,317.0,424.0,0.03,4.0,3.0,400.0,0.993,1.0,1.3260383275373986,623,80,420
148,142,142.0,1.0,1.0,127.0,424.0,0.03,4.0,3.0,400.0,0.993,1.0,1.4710115934646864,623,149,420
3247,782,782.0,1.0,1.0,1258.0,424.0,0.03,4.0,3.0,400.0,0.993,1.0,1.2073416856946113,623,48,420
873,274,274.0,1.0,1.0,317.0,424.0,0.03,3.0,4.0,400.0,0.997,1.0,1.3241352273843836,595,74,437
26,114,114.0,1.0,1.0,127.0,424.0,0.03,3.0,4.0,400.0,0.997,1.0,1.4224782154020026,595,27,437
3335,754,754.0,1.0,1.0,1258.0,424.0,0.03,3.0,4.0,400.0,0.997,1.0,1.2159033648560975,595,136,437
2408,594,594.0,1.0,1.0,953.0,424.0,0.03,3.0,4.0,400.0,0.997,1.0,1.2118841362142034,595,9,437
1790,434,434.0,1.0,1.0,635.0,424.0,0.03,3.0,4.0,400.0,0.997,1.0,1.2997020212106696,595,191,437
2539,498,498.0,1.0,1.0,953.0,424.0,0.07,1.0,2.0,600.0,0.995,1.0,1.2337685427473857,659,140,441
825,178,178.0,1.0,1.0,317.0,424.0,0.07,1.0,2.0,600.0,0.995,1.0,1.2988664760477646,659,26,441
3443,658,658.0,1.0,1.0,1258.0,424.0,0.07,1.0,2.0,600.0,0.995,1.0,1.229808600307441,659,244,441
1619,338,338.0,1.0,1.0,635.0,424.0,0.07,1.0,2.0,600.0,0.995,1.0,1.2680829824458686,659,20,441
10,18,18.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,600.0,0.995,1.0,1.4126407934164706,659,11,441
886,312,312.0,1.0,1.0,317.0,424.0,0.03,4.0,4.0,400.0,0.993,1.0,1.3275033640766307,633,87,442
804,174,174.0,1.0,1.0,317.0,424.0,0.07,1.0,2.0,400.0,0.997,1.0,1.284905543097242,655,5,442
3211,792,792.0,1.0,1.0,1258.0,424.0,0.03,4.0,4.0,400.0,0.993,1.0,1.2015789920060325,633,12,442
3474,654,654.0,1.0,1.0,1258.0,424.0,0.07,1.0,2.0,400.0,0.997,1.0,1.2362198647404004,655,275,442
2485,632,632.0,1.0,1.0,953.0,424.0,0.03,4.0,4.0,400.0,0.993,1.0,1.2274676123925188,633,86,442
1610,334,334.0,1.0,1.0,635.0,424.0,0.07,1.0,2.0,400.0,0.997,1.0,1.2652738950165987,655,11,442
2548,494,494.0,1.0,1.0,953.0,424.0,0.07,1.0,2.0,400.0,0.997,1.0,1.235384847039226,655,149,442
1,14,14.0,1.0,1.0,127.0,424.0,0.07,1.0,2.0,400.0,0.997,1.0,1.3849774841134972,655,2,442
87,152,152.0,1.0,1.0,127.0,424.0,0.03,4.0,4.0,400.0,0.993,1.0,1.4486977157048435,633,88,442
1768,472,472.0,1.0,1.0,635.0,424.0,0.03,4.0,4.0,400.0,0.993,1.0,1.295039899337045,633,169,442
95,53,53.0,1.0,1.0,127.0,424.0,0.07,2.0,2.0,400.0,0.995,1.0,1.452049676413807,694,96,446
852,213,213.0,1.0,1.0,317.0,424.0,0.07,2.0,2.0,400.0,0.995,1.0,1.3145272800301926,694,53,446
