,id,train_seed,test_seed,train_size,test_size,v,tree_size,epochs,test_rmse,setting_id,rank,total_rank
600,655.0,1.0,1.0,953.0,424.0,0.01,2.0,800.0,30.26369270670361,80,25,153
782,847.0,1.0,1.0,1258.0,424.0,0.01,2.0,800.0,30.11495044339403,80,15,153
202,271.0,1.0,1.0,317.0,424.0,0.01,2.0,800.0,33.66692393182482,80,11,153
769,876.0,1.0,1.0,1258.0,424.0,0.03,4.0,200.0,29.84217065055632,109,2,158
428,492.0,1.0,1.0,635.0,424.0,0.03,4.0,200.0,31.929803664786505,109,45,158
29,108.0,1.0,1.0,127.0,424.0,0.03,4.0,200.0,40.52207768395714,109,30,158
588,684.0,1.0,1.0,953.0,424.0,0.03,4.0,200.0,30.08237005985889,109,13,158
259,300.0,1.0,1.0,317.0,424.0,0.03,4.0,200.0,34.541100777165155,109,68,158
792,866.0,1.0,1.0,1258.0,424.0,0.03,1.0,600.0,30.189534859112207,99,25,161
386,482.0,1.0,1.0,635.0,424.0,0.03,1.0,600.0,31.21538947663048,99,3,161
203,290.0,1.0,1.0,317.0,424.0,0.03,1.0,600.0,33.70401369964516,99,12,161
610,674.0,1.0,1.0,953.0,424.0,0.03,1.0,600.0,30.352996147211957,99,35,161
85,98.0,1.0,1.0,127.0,424.0,0.03,1.0,600.0,41.65387103110394,99,86,161
68,78.0,1.0,1.0,127.0,424.0,0.01,2.0,600.0,41.3798108228635,79,69,164
629,654.0,1.0,1.0,953.0,424.0,0.01,2.0,600.0,30.49749799820729,79,54,164
195,270.0,1.0,1.0,317.0,424.0,0.01,2.0,600.0,33.504223933365125,79,4,164
388,462.0,1.0,1.0,635.0,424.0,0.01,2.0,600.0,31.28851806011261,79,5,164
799,846.0,1.0,1.0,1258.0,424.0,0.01,2.0,600.0,30.22726579078,79,32,164
772,835.0,1.0,1.0,1258.0,424.0,0.007,5.0,800.0,29.99878126699189,68,5,166
605,643.0,1.0,1.0,953.0,424.0,0.007,5.0,800.0,30.3257907194315,68,30,166
779,867.0,1.0,1.0,1258.0,424.0,0.03,1.0,800.0,30.10974412498699,100,12,166
86,99.0,1.0,1.0,127.0,424.0,0.03,1.0,800.0,41.66920239150063,100,87,166
436,451.0,1.0,1.0,635.0,424.0,0.007,5.0,800.0,32.044838339906946,68,53,166
609,675.0,1.0,1.0,953.0,424.0,0.03,1.0,800.0,30.34384220234873,100,34,166
249,259.0,1.0,1.0,317.0,424.0,0.007,5.0,800.0,34.43291843328187,68,58,166
209,291.0,1.0,1.0,317.0,424.0,0.03,1.0,800.0,33.81199484213263,100,18,166
19,67.0,1.0,1.0,127.0,424.0,0.007,5.0,800.0,40.41621699324984,68,20,166
398,483.0,1.0,1.0,635.0,424.0,0.03,1.0,800.0,31.369059989163752,100,15,166
598,647.0,1.0,1.0,953.0,424.0,0.007,6.0,800.0,30.256869111618283,72,23,168
431,455.0,1.0,1.0,635.0,424.0,0.007,6.0,800.0,31.957006156266463,72,48,168
250,263.0,1.0,1.0,317.0,424.0,0.007,6.0,800.0,34.43348745769485,72,59,168
784,839.0,1.0,1.0,1258.0,424.0,0.007,6.0,800.0,30.13466259028795,72,17,168
20,71.0,1.0,1.0,127.0,424.0,0.007,6.0,800.0,40.41919817995777,72,21,168
254,282.0,1.0,1.0,317.0,424.0,0.01,5.0,600.0,34.48615227765716,91,63,169
30,90.0,1.0,1.0,127.0,424.0,0.01,5.0,600.0,40.52792265603808,91,31,169
592,666.0,1.0,1.0,953.0,424.0,0.01,5.0,600.0,30.183047740589323,91,17,169
776,858.0,1.0,1.0,1258.0,424.0,0.01,5.0,600.0,30.05457939376165,91,9,169
432,474.0,1.0,1.0,635.0,424.0,0.01,5.0,600.0,31.97314585283121,91,49,169
793,868.0,1.0,1.0,1258.0,424.0,0.03,2.0,200.0,30.19538998489359,101,26,173
74,100.0,1.0,1.0,127.0,424.0,0.03,2.0,200.0,41.43890896756892,101,75,173
631,676.0,1.0,1.0,953.0,424.0,0.03,2.0,200.0,30.50985316929717,101,56,173
199,292.0,1.0,1.0,317.0,424.0,0.03,2.0,200.0,33.54892426140015,101,8,173
391,484.0,1.0,1.0,635.0,424.0,0.03,2.0,200.0,31.303605730901,101,8,173
65,55.0,1.0,1.0,127.0,424.0,0.007,2.0,800.0,41.160466653949015,56,66,178
196,247.0,1.0,1.0,317.0,424.0,0.007,2.0,800.0,33.5078776355966,56,5,178
810,823.0,1.0,1.0,1258.0,424.0,0.007,2.0,800.0,30.30022069286832,56,43,178
635,631.0,1.0,1.0,953.0,424.0,0.007,2.0,800.0,30.52401463271709,56,60,178
387,439.0,1.0,1.0,635.0,424.0,0.007,2.0,800.0,31.269388722692245,56,4,178
442,496.0,1.0,1.0,635.0,424.0,0.03,5.0,200.0,32.09238488902135,113,59,179
253,304.0,1.0,1.0,317.0,424.0,0.03,5.0,200.0,34.45618707345224,113,62,179
32,112.0,1.0,1.0,127.0,424.0,0.03,5.0,200.0,40.55519853844679,113,33,179
777,880.0,1.0,1.0,1258.0,424.0,0.03,5.0,200.0,30.056915964422423,113,10,179
590,688.0,1.0,1.0,953.0,424.0,0.03,5.0,200.0,30.14043880198703,113,15,179
31,94.0,1.0,1.0,127.0,424.0,0.01,6.0,600.0,40.53417755118489,95,32,181
258,286.0,1.0,1.0,317.0,424.0,0.01,6.0,600.0,34.529277972588105,95,67,181
433,478.0,1.0,1.0,635.0,424.0,0.01,6.0,600.0,31.99846272614783,95,50,181
596,670.0,1.0,1.0,953.0,424.0,0.01,6.0,600.0,30.228530673393013,95,21,181
778,862.0,1.0,1.0,1258.0,424.0,0.01,6.0,600.0,30.091282922596744,95,11,181
620,619.0,1.0,1.0,953.0,424.0,0.005,5.0,800.0,30.427737115137955,44,45,182
820,811.0,1.0,1.0,1258.0,424.0,0.005,5.0,800.0,30.40394307333096,44,53,182
441,427.0,1.0,1.0,635.0,424.0,0.005,5.0,800.0,32.06799133274427,44,58,182
213,235.0,1.0,1.0,317.0,424.0,0.005,5.0,800.0,33.88594832136707,44,22,182
3,43.0,1.0,1.0,127.0,424.0,0.005,5.0,800.0,40.147474247035085,44,4,182
616,665.0,1.0,1.0,953.0,424.0,0.01,5.0,400.0,30.394672176027264,90,41,184
7,89.0,1.0,1.0,127.0,424.0,0.01,5.0,400.0,40.17271253091291,90,8,184
435,473.0,1.0,1.0,635.0,424.0,0.01,5.0,400.0,32.039865755450826,90,52,184
819,857.0,1.0,1.0,1258.0,424.0,0.01,5.0,400.0,30.396437110847167,90,52,184
222,281.0,1.0,1.0,317.0,424.0,0.01,5.0,400.0,33.92461840426988,90,31,184
11,66.0,1.0,1.0,127.0,424.0,0.007,5.0,600.0,40.2177674218933,67,12,192
