,id,train_seed,test_seed,train_size,test_size,v,target_tree_size,source_tree_size,epochs,decay_factor,alpha_0,test_rmse
0,0.0,1.0,1.0,127.0,424.0,0.01,1.0,1.0,400.0,0.97,1.0,4.601454676885154
1,1.0,1.0,1.0,127.0,424.0,0.01,1.0,1.0,400.0,0.99,1.0,4.451313409773022
2,2.0,1.0,1.0,127.0,424.0,0.01,1.0,1.0,400.0,0.993,1.0,4.401115367206452
3,3.0,1.0,1.0,127.0,424.0,0.01,1.0,1.0,400.0,0.995,1.0,4.347225790253521
4,4.0,1.0,1.0,127.0,424.0,0.01,1.0,1.0,400.0,0.997,1.0,4.328394336740103
5,5.0,1.0,1.0,127.0,424.0,0.01,1.0,1.0,600.0,0.97,1.0,4.614325474746615
6,6.0,1.0,1.0,127.0,424.0,0.01,1.0,1.0,600.0,0.99,1.0,4.615592736057651
7,7.0,1.0,1.0,127.0,424.0,0.01,1.0,1.0,600.0,0.993,1.0,4.507667698432677
8,8.0,1.0,1.0,127.0,424.0,0.01,1.0,1.0,600.0,0.995,1.0,4.417569110306196
9,9.0,1.0,1.0,127.0,424.0,0.01,1.0,1.0,600.0,0.997,1.0,4.366012615780872
10,10.0,1.0,1.0,127.0,424.0,0.01,1.0,2.0,400.0,0.97,1.0,4.496350833027603
11,11.0,1.0,1.0,127.0,424.0,0.01,1.0,2.0,400.0,0.99,1.0,4.255113914900473
12,12.0,1.0,1.0,127.0,424.0,0.01,1.0,2.0,400.0,0.993,1.0,4.197071931774595
13,13.0,1.0,1.0,127.0,424.0,0.01,1.0,2.0,400.0,0.995,1.0,4.161135491679745
14,14.0,1.0,1.0,127.0,424.0,0.01,1.0,2.0,400.0,0.997,1.0,4.092754240073936
15,15.0,1.0,1.0,127.0,424.0,0.01,1.0,2.0,600.0,0.97,1.0,4.436662822645105
16,16.0,1.0,1.0,127.0,424.0,0.01,1.0,2.0,600.0,0.99,1.0,4.310575025663418
17,17.0,1.0,1.0,127.0,424.0,0.01,1.0,2.0,600.0,0.993,1.0,4.261045227432939
18,18.0,1.0,1.0,127.0,424.0,0.01,1.0,2.0,600.0,0.995,1.0,4.21316146407588
19,19.0,1.0,1.0,127.0,424.0,0.01,1.0,2.0,600.0,0.997,1.0,4.112095887858344
20,20.0,1.0,1.0,127.0,424.0,0.01,1.0,3.0,400.0,0.97,1.0,4.495488000895873
21,21.0,1.0,1.0,127.0,424.0,0.01,1.0,3.0,400.0,0.99,1.0,4.195612326854995
22,22.0,1.0,1.0,127.0,424.0,0.01,1.0,3.0,400.0,0.993,1.0,4.120523076171666
23,23.0,1.0,1.0,127.0,424.0,0.01,1.0,3.0,400.0,0.995,1.0,4.085236734117969
24,24.0,1.0,1.0,127.0,424.0,0.01,1.0,3.0,400.0,0.997,1.0,4.098075573742766
25,25.0,1.0,1.0,127.0,424.0,0.01,1.0,3.0,600.0,0.97,1.0,4.312675728182967
26,26.0,1.0,1.0,127.0,424.0,0.01,1.0,3.0,600.0,0.99,1.0,4.199394726855897
27,27.0,1.0,1.0,127.0,424.0,0.01,1.0,3.0,600.0,0.993,1.0,4.124175664414821
28,28.0,1.0,1.0,127.0,424.0,0.01,1.0,3.0,600.0,0.995,1.0,4.104360209332892
29,29.0,1.0,1.0,127.0,424.0,0.01,1.0,3.0,600.0,0.997,1.0,4.101318922579553
30,30.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,400.0,0.97,1.0,4.522829653622509
31,31.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,400.0,0.99,1.0,4.360327536412096
32,32.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,400.0,0.993,1.0,4.2889971333051715
33,33.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,400.0,0.995,1.0,4.299074590908362
34,34.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,400.0,0.997,1.0,4.326531255381889
35,35.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,600.0,0.97,1.0,4.294013607244315
36,36.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,600.0,0.99,1.0,4.2910085939872795
37,37.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,600.0,0.993,1.0,4.29348807533669
38,38.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,600.0,0.995,1.0,4.31182824166749
39,39.0,1.0,1.0,127.0,424.0,0.01,1.0,4.0,600.0,0.997,1.0,4.296965810212157
40,40.0,1.0,1.0,127.0,424.0,0.01,2.0,1.0,400.0,0.97,1.0,4.478333692249618
41,41.0,1.0,1.0,127.0,424.0,0.01,2.0,1.0,400.0,0.99,1.0,4.386362539741814
42,42.0,1.0,1.0,127.0,424.0,0.01,2.0,1.0,400.0,0.993,1.0,4.344168417041544
